EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : Sunshine in 0.1 Hours
30-34 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132728) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SS, Q_SS
  4970,132728,19620227,   18,    0
  4970,132728,19620228,   77,    0
  4970,132728,19620301,    0,    0
  4970,132728,19620302,   23,    0
  4970,132728,19620303,   16,    0
  4970,132728,19620304,    0,    0
  4970,132728,19620305,    0,    0
  4970,132728,19620306,   80,    0
  4970,132728,19620307,   97,    0
  4970,132728,19620308,   30,    0
  4970,132728,19620309,   24,    0
  4970,132728,19620310,   13,    0
  4970,132728,19620311,    2,    0
  4970,132728,19620312,   13,    0
  4970,132728,19620313,   60,    0
  4970,132728,19620314,   61,    0
  4970,132728,19620315,   45,    0
  4970,132728,19620316,   97,    0
  4970,132728,19620317,   35,    0
  4970,132728,19620318,   32,    0
  4970,132728,19620319,   87,    0
  4970,132728,19620320,  110,    0
  4970,132728,19620321,   18,    0
  4970,132728,19620322,   97,    0
  4970,132728,19620323,   81,    0
  4970,132728,19620324,  104,    0
  4970,132728,19620325,  114,    0
  4970,132728,19620326,   22,    0
  4970,132728,19620327,   27,    0
  4970,132728,19620328,   39,    0
  4970,132728,19620329,    0,    0
  4970,132728,19620330,    0,    0
  4970,132728,19620331,   38,    0
  4970,132728,19620401,   66,    0
  4970,132728,19620402,   36,    0
  4970,132728,19620403,   51,    0
  4970,132728,19620404,   48,    0
  4970,132728,19620405,   11,    0
  4970,132728,19620406,   31,    0
  4970,132728,19620407,    0,    0
  4970,132728,19620408,    7,    0
  4970,132728,19620409,   46,    0
  4970,132728,19620410,   13,    0
  4970,132728,19620411,   61,    0
  4970,132728,19620412,    0,    0
  4970,132728,19620413,   81,    0
  4970,132728,19620414,   25,    0
  4970,132728,19620415,    0,    0
  4970,132728,19620416,   45,    0
  4970,132728,19620417,    7,    0
  4970,132728,19620418,   35,    0
  4970,132728,19620419,   51,    0
  4970,132728,19620420,   49,    0
  4970,132728,19620421,   93,    0
  4970,132728,19620422,   39,    0
  4970,132728,19620423,  101,    0
  4970,132728,19620424,  104,    0
  4970,132728,19620425,  110,    0
  4970,132728,19620426,  118,    0
  4970,132728,19620427,   11,    0
  4970,132728,19620428,   70,    0
  4970,132728,19620429,   75,    0
  4970,132728,19620430,   73,    0
