EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 FG   : Wind speed in 0.1 m/s
30-34 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132736) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   FG, Q_FG
  4970,132736,19680714,-9999,    9
  4970,132736,19680715,-9999,    9
  4970,132736,19680716,-9999,    9
  4970,132736,19680717,-9999,    9
  4970,132736,19680718,-9999,    9
  4970,132736,19680719,-9999,    9
  4970,132736,19680720,-9999,    9
  4970,132736,19680721,-9999,    9
  4970,132736,19680722,-9999,    9
  4970,132736,19680723,-9999,    9
  4970,132736,19680724,-9999,    9
  4970,132736,19680725,-9999,    9
  4970,132736,19680726,-9999,    9
  4970,132736,19680727,-9999,    9
  4970,132736,19680728,-9999,    9
  4970,132736,19680729,-9999,    9
  4970,132736,19680730,-9999,    9
  4970,132736,19680731,-9999,    9
  4970,132736,19680801,-9999,    9
  4970,132736,19680802,-9999,    9
  4970,132736,19680803,-9999,    9
  4970,132736,19680804,-9999,    9
  4970,132736,19680805,-9999,    9
  4970,132736,19680806,-9999,    9
  4970,132736,19680807,-9999,    9
  4970,132736,19680808,-9999,    9
  4970,132736,19680809,-9999,    9
  4970,132736,19680810,-9999,    9
  4970,132736,19680811,-9999,    9
  4970,132736,19680812,-9999,    9
  4970,132736,19680813,-9999,    9
  4970,132736,19680814,-9999,    9
  4970,132736,19680815,-9999,    9
  4970,132736,19680816,-9999,    9
  4970,132736,19680817,-9999,    9
  4970,132736,19680818,-9999,    9
  4970,132736,19680819,-9999,    9
  4970,132736,19680820,-9999,    9
  4970,132736,19680821,-9999,    9
  4970,132736,19680822,-9999,    9
  4970,132736,19680823,-9999,    9
  4970,132736,19680824,-9999,    9
  4970,132736,19680825,-9999,    9
  4970,132736,19680826,-9999,    9
  4970,132736,19680827,-9999,    9
  4970,132736,19680828,-9999,    9
  4970,132736,19680829,-9999,    9
  4970,132736,19680830,-9999,    9
  4970,132736,19680831,-9999,    9
  4970,132736,19680901,-9999,    9
  4970,132736,19680902,-9999,    9
  4970,132736,19680903,-9999,    9
  4970,132736,19680904,-9999,    9
  4970,132736,19680905,-9999,    9
  4970,132736,19680906,-9999,    9
  4970,132736,19680907,-9999,    9
  4970,132736,19680908,-9999,    9
  4970,132736,19680909,-9999,    9
  4970,132736,19680910,-9999,    9
  4970,132736,19680911,-9999,    9
  4970,132736,19680912,-9999,    9
  4970,132736,19680913,-9999,    9
  4970,132736,19680914,-9999,    9
  4970,132736,19680915,-9999,    9
  4970,132736,19680916,-9999,    9
  4970,132736,19680917,-9999,    9
  4970,132736,19680918,-9999,    9
  4970,132736,19680919,-9999,    9
  4970,132736,19680920,-9999,    9
  4970,132736,19680921,-9999,    9
  4970,132736,19680922,-9999,    9
  4970,132736,19680923,-9999,    9
  4970,132736,19680924,-9999,    9
  4970,132736,19680925,-9999,    9
  4970,132736,19680926,-9999,    9
  4970,132736,19680927,-9999,    9
  4970,132736,19680928,-9999,    9
  4970,132736,19680929,-9999,    9
  4970,132736,19680930,-9999,    9
  4970,132736,19681001,-9999,    9
  4970,132736,19681002,-9999,    9
  4970,132736,19681003,-9999,    9
  4970,132736,19681004,-9999,    9
  4970,132736,19681005,-9999,    9
  4970,132736,19681006,-9999,    9
  4970,132736,19681007,-9999,    9
  4970,132736,19681008,-9999,    9
  4970,132736,19681009,-9999,    9
  4970,132736,19681010,-9999,    9
  4970,132736,19681011,-9999,    9
  4970,132736,19681012,-9999,    9
  4970,132736,19681013,-9999,    9
  4970,132736,19681014,-9999,    9
  4970,132736,19681015,-9999,    9
  4970,132736,19681016,-9999,    9
  4970,132736,19681017,-9999,    9
  4970,132736,19681018,-9999,    9
  4970,132736,19681019,-9999,    9
  4970,132736,19681020,-9999,    9
  4970,132736,19681021,-9999,    9
  4970,132736,19681022,-9999,    9
  4970,132736,19681023,-9999,    9
  4970,132736,19681024,-9999,    9
  4970,132736,19681025,-9999,    9
  4970,132736,19681026,-9999,    9
  4970,132736,19681027,-9999,    9
  4970,132736,19681028,-9999,    9
  4970,132736,19681029,-9999,    9
  4970,132736,19681030,-9999,    9
  4970,132736,19681031,-9999,    9
  4970,132736,19681101,-9999,    9
  4970,132736,19681102,-9999,    9
  4970,132736,19681103,-9999,    9
  4970,132736,19681104,-9999,    9
  4970,132736,19681105,-9999,    9
  4970,132736,19681106,-9999,    9
  4970,132736,19681107,-9999,    9
  4970,132736,19681108,-9999,    9
  4970,132736,19681109,-9999,    9
  4970,132736,19681110,-9999,    9
  4970,132736,19681111,-9999,    9
  4970,132736,19681112,-9999,    9
  4970,132736,19681113,-9999,    9
  4970,132736,19681114,-9999,    9
  4970,132736,19681115,-9999,    9
  4970,132736,19681116,-9999,    9
  4970,132736,19681117,-9999,    9
  4970,132736,19681118,-9999,    9
  4970,132736,19681119,-9999,    9
  4970,132736,19681120,-9999,    9
  4970,132736,19681121,-9999,    9
  4970,132736,19681122,-9999,    9
  4970,132736,19681123,-9999,    9
  4970,132736,19681124,-9999,    9
  4970,132736,19681125,-9999,    9
  4970,132736,19681126,-9999,    9
  4970,132736,19681127,-9999,    9
  4970,132736,19681128,-9999,    9
  4970,132736,19681129,-9999,    9
  4970,132736,19681130,-9999,    9
  4970,132736,19681201,-9999,    9
  4970,132736,19681202,-9999,    9
  4970,132736,19681203,-9999,    9
  4970,132736,19681204,-9999,    9
  4970,132736,19681205,-9999,    9
  4970,132736,19681206,-9999,    9
  4970,132736,19681207,-9999,    9
  4970,132736,19681208,-9999,    9
  4970,132736,19681209,-9999,    9
  4970,132736,19681210,-9999,    9
  4970,132736,19681211,-9999,    9
  4970,132736,19681212,-9999,    9
  4970,132736,19681213,-9999,    9
  4970,132736,19681214,-9999,    9
  4970,132736,19681215,-9999,    9
  4970,132736,19681216,-9999,    9
  4970,132736,19681217,-9999,    9
  4970,132736,19681218,-9999,    9
  4970,132736,19681219,-9999,    9
  4970,132736,19681220,-9999,    9
  4970,132736,19681221,-9999,    9
