EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 HU   : Humidity in 1 %
30-34 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132735) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   HU, Q_HU
  4970,132735,19610815,   92,    0
  4970,132735,19610816,   78,    0
  4970,132735,19610817,   81,    0
  4970,132735,19610818,   77,    0
  4970,132735,19610819,   86,    0
  4970,132735,19610820,   83,    0
  4970,132735,19610821,   76,    0
  4970,132735,19610822,   87,    0
  4970,132735,19610823,   84,    0
  4970,132735,19610824,   79,    0
  4970,132735,19610825,   80,    0
  4970,132735,19610826,   68,    0
  4970,132735,19610827,   78,    0
  4970,132735,19610828,   74,    0
  4970,132735,19610829,   65,    0
  4970,132735,19610830,   59,    0
  4970,132735,19610831,   51,    0
  4970,132735,19610901,   59,    0
  4970,132735,19610902,   56,    0
  4970,132735,19610903,   68,    0
  4970,132735,19610904,   66,    0
  4970,132735,19610905,   81,    0
  4970,132735,19610906,   89,    0
  4970,132735,19610907,   85,    0
  4970,132735,19610908,   94,    0
  4970,132735,19610909,   86,    0
  4970,132735,19610910,   75,    0
  4970,132735,19610911,   75,    0
  4970,132735,19610912,   79,    0
  4970,132735,19610913,   68,    0
  4970,132735,19610914,   91,    0
  4970,132735,19610915,   82,    0
  4970,132735,19610916,   63,    0
  4970,132735,19610917,   60,    0
  4970,132735,19610918,   66,    0
  4970,132735,19610919,   68,    0
  4970,132735,19610920,   81,    0
  4970,132735,19610921,   95,    0
  4970,132735,19610922,   88,    0
  4970,132735,19610923,   61,    0
  4970,132735,19610924,   76,    0
  4970,132735,19610925,   87,    0
  4970,132735,19610926,   76,    0
  4970,132735,19610927,   77,    0
  4970,132735,19610928,   76,    0
  4970,132735,19610929,   63,    0
  4970,132735,19610930,   70,    0
  4970,132735,19611001,   91,    0
  4970,132735,19611002,   96,    0
  4970,132735,19611003,   87,    0
  4970,132735,19611004,   84,    0
  4970,132735,19611005,   77,    0
  4970,132735,19611006,   80,    0
  4970,132735,19611007,   88,    0
