EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132731) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   SD, Q_SD
  4970,132731,19610926,    0,    0
  4970,132731,19610927,    0,    0
  4970,132731,19610928,    0,    0
  4970,132731,19610929,    0,    0
  4970,132731,19610930,    0,    0
  4970,132731,19611001,    0,    0
  4970,132731,19611002,    0,    0
  4970,132731,19611003,    0,    0
  4970,132731,19611004,    0,    0
  4970,132731,19611005,    0,    0
  4970,132731,19611006,    0,    0
  4970,132731,19611007,    0,    0
  4970,132731,19611008,    0,    0
  4970,132731,19611009,    0,    0
  4970,132731,19611010,    0,    0
  4970,132731,19611011,    0,    0
  4970,132731,19611012,    0,    0
  4970,132731,19611013,    0,    0
  4970,132731,19611014,    0,    0
  4970,132731,19611015,    0,    0
  4970,132731,19611016,    0,    0
  4970,132731,19611017,    0,    0
  4970,132731,19611018,    0,    0
  4970,132731,19611019,    0,    0
  4970,132731,19611020,    0,    0
  4970,132731,19611021,    0,    0
  4970,132731,19611022,    0,    0
  4970,132731,19611023,    0,    0
  4970,132731,19611024,    0,    0
  4970,132731,19611025,    0,    0
  4970,132731,19611026,    0,    0
  4970,132731,19611027,    0,    0
  4970,132731,19611028,    0,    0
  4970,132731,19611029,    0,    0
  4970,132731,19611030,    0,    0
  4970,132731,19611031,    0,    0
  4970,132731,19611101,    0,    0
  4970,132731,19611102,    0,    0
  4970,132731,19611103,    0,    0
  4970,132731,19611104,    0,    0
  4970,132731,19611105,    0,    0
  4970,132731,19611106,    0,    0
  4970,132731,19611107,    7,    0
  4970,132731,19611108,    0,    0
  4970,132731,19611109,    0,    0
  4970,132731,19611110,    0,    0
  4970,132731,19611111,    0,    0
  4970,132731,19611112,    0,    0
  4970,132731,19611113,    0,    0
  4970,132731,19611114,    0,    0
  4970,132731,19611115,    0,    0
  4970,132731,19611116,    0,    0
  4970,132731,19611117,    0,    0
  4970,132731,19611118,    0,    0
  4970,132731,19611119,    0,    0
  4970,132731,19611120,    0,    0
  4970,132731,19611121,    0,    0
  4970,132731,19611122,    0,    0
  4970,132731,19611123,    0,    0
  4970,132731,19611124,    0,    0
  4970,132731,19611125,    0,    0
  4970,132731,19611126,    0,    0
  4970,132731,19611127,    0,    0
  4970,132731,19611128,    0,    0
  4970,132731,19611129,    0,    0
  4970,132731,19611130,    0,    0
  4970,132731,19611201,    0,    0
  4970,132731,19611202,    0,    0
  4970,132731,19611203,    0,    0
  4970,132731,19611204,    0,    0
  4970,132731,19611205,    0,    0
  4970,132731,19611206,    0,    0
  4970,132731,19611207,    0,    0
  4970,132731,19611208,    0,    0
  4970,132731,19611209,    0,    0
  4970,132731,19611210,    0,    0
  4970,132731,19611211,    0,    0
  4970,132731,19611212,    0,    0
  4970,132731,19611213,    0,    0
  4970,132731,19611214,    0,    0
  4970,132731,19611215,    0,    0
  4970,132731,19611216,    0,    0
  4970,132731,19611217,    0,    0
  4970,132731,19611218,    0,    0
  4970,132731,19611219,    0,    0
  4970,132731,19611220,    0,    0
  4970,132731,19611221,    0,    0
  4970,132731,19611222,    0,    0
  4970,132731,19611223,    1,    0
  4970,132731,19611224,    0,    0
  4970,132731,19611225,    0,    0
  4970,132731,19611226,    0,    0
  4970,132731,19611227,    0,    0
  4970,132731,19611228,    0,    0
  4970,132731,19611229,    0,    0
  4970,132731,19611230,    0,    0
  4970,132731,19611231,    0,    0
  4970,132731,19620101,    0,    0
  4970,132731,19620102,    0,    0
  4970,132731,19620103,    0,    0
  4970,132731,19620104,    0,    0
  4970,132731,19620105,    0,    0
  4970,132731,19620106,    0,    0
  4970,132731,19620107,    0,    0
  4970,132731,19620108,    0,    0
  4970,132731,19620109,    0,    0
  4970,132731,19620110,    0,    0
  4970,132731,19620111,    0,    0
  4970,132731,19620112,    0,    0
  4970,132731,19620113,    0,    0
  4970,132731,19620114,    1,    0
  4970,132731,19620115,    2,    0
  4970,132731,19620116,    0,    0
  4970,132731,19620117,    0,    0
  4970,132731,19620118,    0,    0
  4970,132731,19620119,    0,    0
  4970,132731,19620120,    0,    0
  4970,132731,19620121,    0,    0
  4970,132731,19620122,    0,    0
  4970,132731,19620123,    0,    0
  4970,132731,19620124,    0,    0
  4970,132731,19620125,    0,    0
  4970,132731,19620126,    0,    0
  4970,132731,19620127,    0,    0
