EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 21-12-2020
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 132727) of station Deuselbach, GERMANY (STAID:   4970)

 STAID,    SOUID,    DATE,   CC, Q_CC
  4970,132727,19610806,    6,    0
  4970,132727,19610807,    6,    0
  4970,132727,19610808,    6,    0
  4970,132727,19610809,    4,    0
  4970,132727,19610810,    8,    0
  4970,132727,19610811,    5,    0
  4970,132727,19610812,    7,    0
  4970,132727,19610813,    6,    0
  4970,132727,19610814,    5,    0
  4970,132727,19610815,    6,    0
  4970,132727,19610816,    4,    0
  4970,132727,19610817,    7,    0
  4970,132727,19610818,    6,    0
  4970,132727,19610819,    7,    0
  4970,132727,19610820,    7,    0
  4970,132727,19610821,    5,    0
  4970,132727,19610822,    6,    0
  4970,132727,19610823,    6,    0
  4970,132727,19610824,    8,    0
  4970,132727,19610825,    4,    0
  4970,132727,19610826,    4,    0
  4970,132727,19610827,    7,    0
  4970,132727,19610828,    2,    0
  4970,132727,19610829,    0,    0
  4970,132727,19610830,    1,    0
  4970,132727,19610831,    0,    0
  4970,132727,19610901,    0,    0
  4970,132727,19610902,    1,    0
  4970,132727,19610903,    6,    0
  4970,132727,19610904,    5,    0
  4970,132727,19610905,    5,    0
  4970,132727,19610906,    7,    0
  4970,132727,19610907,    4,    0
  4970,132727,19610908,    8,    0
  4970,132727,19610909,    5,    0
  4970,132727,19610910,    2,    0
  4970,132727,19610911,    6,    0
  4970,132727,19610912,    7,    0
  4970,132727,19610913,    7,    0
  4970,132727,19610914,    8,    0
  4970,132727,19610915,    4,    0
  4970,132727,19610916,    0,    0
  4970,132727,19610917,    1,    0
